vlanname,vdom,ip,allowaccess,description,alias,role,interface,vlanid
vl0570,root,192.168.0.1/24,ping,vl0570,DMZ,dmz,lacp-trunk1,570
vl0571,root,192.168.1.254/24,ping,vl0571,voip,dmz,lacp-trunk1,571
vl0572,root,192.168.2.254/24,ping,vl0572,doorcontroll,dmz,lacp-trunk1,572
vl0573,root,192.168.3.254/24,ping,vl0573,audio,dmz,lacp-trunk1,573
vl0574,root,192.168.4.254/24,ping,vl0574,Video_Conferencing,dmz,lacp-trunk1,574
vl0575,root,192.168.5.254/24,ping,vl0575,FireAlarmSystem,dmz,lacp-trunk1,575
vl0576,root,192.168.6.254/24,ping,vl0576,house,dmz,lacp-trunk1,576
vl0577,root,192.168.7.254/24,ping,vl0577,mgmt,dmz,lacp-trunk1,577
vl0578,root,192.168.8.254/24,ping,vl0578,video-stream,dmz,lacp-trunk1,578
vl0579,root,192.168.9.254/24,ping,vl0579,internet,dmz,lacp-trunk1,579
vl0580,root,192.168.10.254/24,ping,vl0580,guest,dmz,lacp-trunk1,580
vl0581,root,192.168.11.254/24,ping,vl0581,guest2,dmz,lacp-trunk1,581
vl0582,root,192.168.12.254/24,ping,vl0582,parking,dmz,lacp-trunk1,582
vl0583,root,192.168.130.1/23,ping,vl0583,EventA,dmz,lacp-trunk1,583
vl0584,root,192.168.140.1/23,ping,vl0584,EventB,dmz,lacp-trunk1,584
vl0585,root,192.168.150.1/23,ping,vl0585,EventC,dmz,lacp-trunk1,585
vl0586,root,192.168.160.1/21,ping,vl0586,EventD,dmz,lacp-trunk1,586
vl0587,root,192.168.17.254/24,ping,vl0587,sat,dmz,lacp-trunk1,587
vl0588,root,192.168.18.254/24,ping,vl0588,frontdesk,dmz,lacp-trunk1,588
vl0589,root,192.168.19.254/24,ping,vl0589,level1,dmz,lacp-trunk1,589
vl0590,root,192.168.20.254/24,ping,vl0590,level2,dmz,lacp-trunk1,590
vl0591,root,192.168.21.254/24,ping,vl0591,level3,dmz,lacp-trunk1,591
vl0599,root,192.168.39.254/24,ping,vl0599,level4,dmz,lacp-trunk1,599
